component,kind,time,Isp,MR,P,Q,T,U,cstar,d,fill_level,h,m,m_l,m_v,mdot_fu,mdot_ox,s,thrust
engine_block,Engine,6.9,225.81937436786922,1.7626913323766689,2902609.0437597637,,2985.31486996368,,1603.0124248250265,1.2,0.0,,0.0,,,0.26868617185767274,0.4736107862629878,,1644.4015901909836
engine_block,Engine,6.9,224.27914175275322,1.7341927607530996,2880153.897261635,,2940.7607328073777,,1595.8449558313378,1.2,0.0,,0.0,,,0.27198238261035873,0.47166987897526386,,1636.1676286208994
engine_block,Engine,7.0,222.7190389961846,1.706861994468469,2857152.506304271,,2896.2200488944054,,1588.4402297322301,1.2,0.0,,0.0,,,0.2736397248936093,0.4670652465977092,,1618.3468654106819
engine_block,Engine,7.0,228.14503366369067,1.8209454544622148,2897420.299126928,,3068.016969140193,,1615.79391464375,1.2,0.0,,0.0,,,0.27542856643240987,0.5015403960741409,,1738.9363951467255
engine_block,Engine,7.1,230.03487794002496,1.860068503427481,2932613.7454188094,,3120.2981378900236,,1623.2450781272307,1.2,0.0,,0.0,,,0.27252504704573466,0.5069152564048636,,1758.9178441954427
engine_block,Engine,7.1,225.766040752475,1.7596891409454851,2908976.1688051065,,2980.771245772714,,1602.287383687169,1.2,0.0,,0.0,,,0.27085979796199844,0.47662904519241667,,1655.5120228973328
engine_block,Engine,7.2,221.01234083230796,1.664890369783183,2888358.1943904255,,2824.76676564669,,1576.0361696503833,1.2,0.0,,0.0,,,0.28381101773053413,0.47251423025793043,,1639.8122643222475
engine_block,Engine,7.2,219.44107357034352,1.640472840497909,2864960.409897914,,2780.773770645118,,1568.1898064461711,1.2,0.0,,0.0,,,0.2848398573871009,0.4672720499348367,,1619.0840374439717
engine_block,Engine,7.2,225.264495048561,1.7490866750354723,2906060.309332801,,2963.600109646856,,1599.6164233124832,1.2,0.0,,0.0,,,0.2864962211163536,0.5011067228026304,,1740.480188509173
engine_block,Engine,7.3,229.9346469812169,1.8560858682929957,2936224.390875522,,3115.3845027447005,,1622.5502338894,1.2,0.0,,0.0,,,0.27228615646048066,0.5053864871381137,,1754.1642096210944
engine_block,Engine,7.4,228.76960810971053,1.8335245961450475,2909062.6579110455,,3086.4009613257035,,1618.3883633539494,1.2,0.0,,0.0,,,0.2604326360788354,0.47750964388943673,,1656.1120963820529
engine_block,Engine,7.4,227.28480368777554,1.802177478897209,2887716.966623164,,3042.8098220970096,,1611.964182075804,1.2,0.0,,0.0,,,0.26367315745987097,0.47518582616389704,,1647.407220840058
engine_block,Engine,7.5,225.8030895351725,1.7728607691994311,2865839.1383553753,,2999.963218872994,,1605.3828694248227,1.2,0.0,,0.0,,,0.26537360213960826,0.4704704484144497,,1629.988986905895
engine_block,Engine,7.5,227.76758310383318,1.8084862017038297,2906530.1114788293,,3050.969066824511,,1613.2467838111122,1.2,0.0,,0.0,,,0.27802253869096166,0.5027999249852733,,1744.6697052240697
engine_block,Engine,7.6,229.54969885860186,1.844511984919891,2939504.980428373,,3100.4065587701166,,1620.4340446097056,1.2,0.0,,0.0,,,0.27464693107303895,0.5065895559856876,,1759.252809351907
engine_block,Engine,7.6,225.3965742416793,1.7492930022482691,2916278.116252016,,2964.894557403321,,1599.730238223361,1.2,0.0,,0.0,,,0.2731068418101717,0.4777438872446584,,1660.2363763600536
engine_block,Engine,7.7,220.85942650804952,1.6601736695068374,2896020.5122103603,,2816.4824769566203,,1574.5603083271383,1.2,0.0,,0.0,,,0.2854327118191066,0.4738678725780139,,1645.124164764486
engine_block,Engine,7.7,219.3480034542654,1.6368882175806336,2873281.8527876115,,2774.2703686977197,,1567.0022029187382,1.2,0.0,,0.0,,,0.2864446410830404,0.46887785797794235,,1625.305909725837
engine_block,Engine,7.8,224.89508988362263,1.7392462828789141,2912018.707760648,,2948.3706342045643,,1597.129961510243,1.2,0.0,,0.0,,,0.2880157031572071,0.5009302411269292,,1740.5889774109146
